text,doc_key,story_id,model_type,prompt_type,seed,num_sentences,source_file,balanced_category,sampled_seed
"A young boy lies peacefully on a bed of pine needles and dried grass , his hands clasped behind his head as he gazes upward . He wears a green patterned shirt and appears to be enjoying a quiet moment of childhood contemplation in nature . [SENT] Another child , with reddish hair , reclines in a similar position on the grass , shielding their eyes from the sun with one hand . Dressed in a striped brown and orange shirt , this child seems to be sharing the same tranquil afternoon , perhaps lying beside the first boy as they both rest outdoors . [SENT] The scene shifts dramatically to a nighttime emergency at a gas station , where shattered glass litters the pavement around a severely damaged dark convertible . An ambulance and fire truck are present with their lights illuminating the scene , while emergency responders work around the wreckage , suggesting a serious accident has occurred . [SENT] Inside a hospital , a blonde woman in medical scrubs stands in what appears to be a clinical setting . Her expression shows concern and worry as she looks ahead , with a medical professional visible in the background , indicating she may be receiving troubling news about someone involved in the accident . [SENT] A man lies in a hospital bed with visible injuries to his face , including cuts and bruising . Despite his battered appearance , he manages a slight smile , suggesting he is conscious and recovering . The sterile hospital environment surrounds him as he processes what has happened . [SENT] Time passes , and life continues as two people walk a small dog along a sunny sidewalk . The dog , which appears to be a miniature pinscher or similar breed , trots between them on a leash as they stroll through what looks like an urban area . [SENT] The couple walks their dog through a vibrant Miami Beach neighborhood , identifiable by the distinctive Art Deco architecture and palm trees lining the street . They appear relaxed and happy together , enjoying the beautiful weather and each other 's company as they navigate the colorful surroundings with their pet . [SENT] A man smiles broadly in bright sunlight , his face showing genuine happiness and contentment . The tropical setting with palm trees and blue sky in the background suggests he has found peace and joy , perhaps indicating his recovery and return to a fulfilling life after the traumatic accident [SENT]",8551,1,claude45,large,42,8,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"A sign with the word `` ENTRANCE '' points left , suggesting the entry to a building . The sunlight filters through , casting shadows and reflections on the glass door . [SENT] Two women walk together along a sunlit path lined with palm trees . They seem engaged in conversation , carrying bags , and appear to be heading towards the entrance . [SENT] The brunette woman appears deep in thought , her expression serious and focused . Her gaze is steady , hinting at determination or concern . [SENT] The two women stop near a public phone . The blonde woman smiles gently as they exchange a few words . Their body language shows familiarity and comfort in each other 's presence . [SENT] Inside a cozy diner , the women sit across from each other at a small table . The blonde woman reads a newspaper intently , while the brunette listens , sipping coffee . The atmosphere is relaxed , with sunlight streaming in through the window , suggesting they are searching for something important in the news . [SENT]",1201,1,gpt4o,original,42,5,gpt4o_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"Matt and Jude walk through a bustling , grand hallway , surrounded by people engaged in lively conversation . Matt , in a brown suit and glasses , is engrossed in a letter , while Jude , wearing a dark blue suit and hat , strolls confidently beside him . [SENT] Matt pauses to examine the contents of his briefcase more closely , adjusting his glasses as he studies the papers inside , seemingly deep in thought . [SENT] Jude , looking intrigued , glances over at Matt , as if waiting for an explanation or a plan . His expression is a mix of curiosity and anticipation . [SENT] Together , they stop and gaze upwards , possibly discussing their next move or admiring the architecture above them , their expressions serious and focused . [SENT] Outside , Jude steps ahead , casting a glance back towards Matt , who is still absorbed in his documents . The street is lively , with scooters and pedestrians adding to the vibrant atmosphere . [SENT]",7065,1,gpt4o,large,42,5,gpt4o_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"Jeff and Jim woke up in a luxurious hotel room , both wearing white bathrobes and surrounded by scattered money . Jeff , sporting a sleep mask , appeared groggy and confused , while Jim , with his tousled hair , looked equally perplexed . They found a newspaper on the bed , which they both read intently . The headline announced an upcoming gala event that Jeff and Jim were scheduled to host . [SENT] The scene shifted to a salon where Jeff and Jim were getting ready for the evening . Jeff , now in a salon chair , received a haircut while Jim 's hair was being styled by a hairdresser . They both wore blue salon capes , and Jim looked amused at the attention he was receiving . [SENT] In the next scene , they were fully prepared for the event , dressed in elegant black tuxedos with white shirts and bow ties . They stood confidently , ready to face the evening 's festivities . [SENT] The final image showed them walking into a grand hall , ready to host the gala . The room was filled with anticipation , and they both exuded a sense of purpose and excitement as they prepared to greet the city 's elite . [SENT] The two characters , Jeff and Jim , transitioned from a disoriented morning to a glamorous evening , embodying the transformation from casual to sophisticated hosts for a prestigious event . [SENT]",3761,1,internvl3,original,42,5,internvl3_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"In a bustling city , Al , dressed in a black suit and sunglasses , is seen forcefully dragging Val through a parking lot . Val , a blonde woman , appears to be resisting , her face showing distress . The scene is chaotic , with cars parked haphazardly and a sense of urgency in the air . [SENT] They move quickly , passing by a gas station where Robert , another man in a black suit , is crouched beside a car . He looks back , seemingly on alert . The tension is palpable as they navigate through the crowded parking area . [SENT] The camera captures a close-up of Al 's intense expression , his grip on Val tightening . They are now near a store entrance , with Robert staying close behind , scanning the surroundings . [SENT] Suddenly , a commotion breaks out . A group of police officers appears , aiming their weapons at the trio . The officers ' focus is on Al and Robert , who are trying to shield Val . [SENT] In the final moments , Al and Robert are seen running away , with Val still in Al 's grasp . The police officers chase after them , shouting commands . The scene ends with a sense of impending confrontation as they head towards the store entrance , leaving the parking lot in disarray . [SENT]",10499,1,internvl3,large,42,5,internvl3_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"The sequence of images depicts a woman experiencing a unique and disorienting visual phenomenon . The story begins with a woman , likely Joan , standing in a dimly lit environment . [SENT] She is surrounded by multiple reflections of herself , creating a dizzying and surreal atmosphere . As the sequence progresses , the reflections seem to shift and move , with Joan 's image repeating and overlapping in various directions . [SENT] The woman 's face and body are distorted , with her features stretching and morphing into different shapes . [SENT] Her eyes are closed , and her expression is serene , suggesting that she may be in a state of trance or meditation . [SENT] The background of the images is dark and indistinct , with only hints of light and shadow visible . [SENT] As the sequence continues , the reflections begin to break apart and reassemble , creating a sense of fragmentation and disintegration . [SENT] The woman 's image becomes increasingly distorted , with her body and face stretching and contorting in impossible ways . [SENT] The final images show the woman 's reflections fading away , leaving her standing alone in the darkness . [SENT]",5201,1,llama4scout,original,42,8,llama4scout_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"The crowd is seated in a dimly lit auditorium , their faces obscured by the darkness . The atmosphere is tense , with an air of anticipation hanging over the audience . [SENT] As the lights slowly rise , a woman with long blonde hair comes into view , her facial expression a mix of emotions . She appears to be deeply invested in the scene unfolding before her . [SENT] The camera pans across the crowd , capturing the varied reactions of the audience members . Some seem entranced , while others appear more subdued , their faces illuminated by the faint glow of the lights . [SENT] The woman 's face remains a focal point , her emotions ebbing and flowing as the scene progresses . Her eyes are fixed intently on something in the distance , her brow furrowed in concentration . [SENT] The atmosphere in the auditorium shifts , with the crowd 's collective energy building towards a crescendo . The woman 's face is bathed in a vibrant blue light , her features illuminated against the darkness of the auditorium . The tension is palpable , with the audience on the edge of their seats as the scene reaches its climax . [SENT]",5062,1,llama4scout,large,42,5,llama4scout_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"Angelina stood in the dim room , her hand pressed to her mouth as she processed the gravity of their plan . [SENT] She joined Jonny , Renoly , and the others huddled around a table cluttered with maps and devices , their whispers urgent . [SENT] Leaning toward Jonny near the neon-lit wall art , she outlined the next phase , her gestures sharp with determination . [SENT] Matthew , wearing a shirt emblazoned with a bold graphic , nodded in agreement as she finalized the details . [SENT] Meanwhile , Fisher worked feverishly at a cluttered desk , lines of code flashing on an old monitor as he breached the security system . [SENT] He picked up the phone , relaying critical updates to the team , his voice steady despite the ticking clock . [SENT]",8154,1,qwen3vl,original,42,6,qwen3vl_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"The blonde woman stands amidst twinkling string lights , her expression thoughtful as she observes the evening gathering , red lipstick contrasting with the soft glow of distant bokeh . [SENT] Inside a dimly lit venue , the red-haired woman in a black dress and red scarf engages in conversation with a man in a dark suit , his blue-tinted glasses reflecting the low light as they exchange words . [SENT] The two women meet outside under the canopy of fairy lights , raising champagne flutes in a quiet toast , their formal attire shimmering as they share a moment of camaraderie . [SENT] A group , including the blonde woman , steps through glass doors into a modern home , where sleek furniture and abstract art frame the transition from the night ’ s cool air to the warm interior . [SENT] Seated at a table with a man in a dark blazer , the blonde woman leans slightly forward , her necklace catching the light as they converse over wine in the intimate setting of the indoor gathering . [SENT]",11541,1,qwen3vl,large,42,5,qwen3vl_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"The gang had been riding for awhile so the leader , Jeff decided to have them take a rest . [SENT] He dismounted from his horse as the others looked on . [SENT] Hailee , the only female in the group was concerned that something bad was going to happen as there had been some recent verbal exchanges between the men . [SENT] Matt was one of the those who were at odds with the leader and he asked , `` Do we have a plan or our we going to just wander the country side '' ? . [SENT] Jeff pulled out his pistol and responded by asking Matt if he wanted to be leader ? . [SENT] Matt laughed it off and replied , `` Only after one of us is dead ! '' . [SENT]",12423,2,human,original,42,6,human_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,human_original,
"Jeff halts his horse and prepares to dismount . He is having problems getting off because he is drunk . [SENT] Jeff dismounts clumsily -- almost falling to the ground -- as Hailee and Matt both on horseback look on . [SENT] Jeff staggers as he reaches the ground . Hailee and Matt are amused by the old drunk . [SENT] Matt asks Jeff if he needs some help . [SENT] Jeff , embarrassed , pulls out his gun and tries to to shoot Matt but the gun is n't loaded . [SENT] Calmly Matt takes out his gun , inspects it , and contemplates about what he will do to the old man . [SENT]",12423,2,human,large,43,6,human_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines,human_large,43
"Matt and Jude walk together through a grand gallery filled with classical architecture and tourists . The two men appear to be in deep conversation as they navigate through the crowded space , with ornate columns and archways surrounding them . [SENT] Jude examines something closely , holding what appears to be a book or document up to his face . He wears glasses and studies the material with intense concentration , his focus completely absorbed by whatever information he 's reviewing . [SENT] Matt looks startled or concerned , his eyes widening as he reacts to something . He wears a black hat and dark clothing , and his expression suggests he 's just learned or realized something significant . [SENT] The two men stand together under a glass-roofed structure , engaged in what appears to be a serious discussion . Matt , still wearing his black hat , and Jude face each other , their body language suggesting they 're sharing important information or making plans . [SENT] Matt moves quickly through a busy street filled with vintage scooters and motorcycles . The scene has a distinctly European atmosphere , with cobblestones visible on the ground . He appears to be in a hurry , walking with purpose past the parked vehicles while other pedestrians go about their business in the background [SENT]",7065,2,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"Ben stands menacingly on an elevated position in a warmly lit room with yellow walls and wooden ceiling beams , looking down at something below with an intense , threatening posture . His dark clothing contrasts sharply against the domestic setting featuring a white cabinet decorated with floral motifs . [SENT] Ben 's face contorts in rage as he screams while gripping a small , fluffy dog aggressively . His expression shows extreme anger and violence as he appears to be shaking or manhandling the terrified animal , which has light-colored fur . [SENT] Cameron in a pink outfit and Lin , an elderly woman with distinctive white-blonde hair wearing a patterned floral top , stand together in the living room watching in horror . Ben is visible in the middle ground , crouched or bent over on the floor near a decorative rug . The cozy home interior features warm lighting and comfortable furnishings . [SENT] The scene continues with Cameron and Lin observing Ben , who remains in a defensive or submissive position on the floor between them . The spatial arrangement shows the two women on opposite sides of the room with Ben caught in the middle , suggesting a confrontation or intervention taking place . [SENT] Lin 's face fills the frame with an expression of absolute terror and shock , her mouth open wide in a scream . Her white-blonde hair and floral patterned clothing are clearly visible as she reacts to the violent scene unfolding before her , her horror evident in every feature of her face [SENT]",6847,2,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"In the midst of a tense battlefield , Sam , Frederic , and Laurence are seen assisting a chaplain conducting a service . The sky is ominous , and a tank and fire in the background hint at the chaos surrounding them . [SENT] A helicopter flies overhead , carrying a cow in a net . The scene is surreal , emphasizing the unpredictability of their environment . [SENT] As night falls , the soldiers gather around a camp , their silhouettes illuminated by the glow of fires . The atmosphere is a mix of camaraderie and somber reflection after a long day . [SENT] Laurence sits at the campfire , laughing and enjoying a meal . He tries to lighten the mood , offering a momentary escape from the harsh realities of war . [SENT] Nearby , Frederic and Albert engage in a conversation while preparing food . They share stories , creating a sense of unity among the group despite the uncertainty ahead . [SENT] Martin and another soldier sit on the ground , discussing the day 's events . Their expressions are serious , reflecting on the challenges they face and the bond they 've formed . [SENT] Sam lies back , sipping from a can , trying to relax amidst the chaos . Around him , the evidence of their temporary reprieve is scattered , with empty cans and dim light creating a sense of fleeting peace . [SENT] The group gathers around a map , planning their next move . Frederic , with the map in hand , leads the discussion , ensuring everyone is informed and ready for [SENT]",6729,2,gpt4o,original,42,8,gpt4o_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"Jean receives a cryptic email on his computer , hinting at a secretive mission involving rulers and gold . The message is intriguing , suggesting a deeper mystery that needs unraveling . [SENT] In a dimly lit room , Tom , focused and determined , is working on his laptop . Jean enters , holding a drink , and seems to be discussing something important with Tom , possibly related to the email . [SENT] Tom stands up , holding a small device , looking perplexed yet resolute as he considers the implications of the message . [SENT] He continues to examine the device , his expression shifting from confusion to determination , as if piecing together a complex puzzle . [SENT] Jean , now more serious , watches Tom intently , understanding the gravity of the situation and ready to assist in whatever comes next . Together , they prepare to embark on a mission that promises danger and intrigue . [SENT]",3230,2,gpt4o,large,42,5,gpt4o_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
"In a cozy home , Ben stood on a stool in the kitchen , reaching for something on a high shelf . Suddenly , he lost his balance and fell backward into the dining area , where Cameron and Lin were present . [SENT] Ben landed on the floor , startled but unharmed , as Cameron rushed to his side . Lin , holding a pink cloth , seemed equally concerned . The room was lively , with warm yellow walls and a mix of furniture . [SENT] Cameron , dressed in a red dress , appeared to be shouting or calling for help , her expression showing alarm . Lin , with her curly blonde hair and patterned outfit , looked equally worried . [SENT] Ben , now on his knees , seemed to be catching his breath . Cameron continued to look alarmed , while Lin held the pink cloth , possibly to clean up any mess caused by the fall . [SENT] The situation seemed chaotic as Cameron and Lin moved around , trying to assess the damage and ensure Ben 's well-being . The room was filled with concern and urgency as they attended to him . [SENT]",6847,2,internvl3,original,42,5,internvl3_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_original,
"In a classroom setting , students are engaged in a lesson . The teacher , standing in front of a chalkboard , writes `` Hay-Herrera Treaty '' as he speaks to the class . The room is filled with attentive students , including Reese , who sits in the front row . [SENT] The camera shifts to the teacher , a man in a light-colored shirt and tie , who seems to be explaining something important . His expression is serious , suggesting the topic is of significance . [SENT] Reese raises her hand , eager to participate in the discussion . She looks thoughtful , possibly preparing to ask a question or share her thoughts . [SENT] The scene transitions to a close-up of a book titled `` Carver : The Looking Glass '' on a wooden surface , indicating a possible connection to the lesson or a broader theme . [SENT] A black and white photo appears , showing a group of students , including Reese , smiling and posing together , suggesting a sense of camaraderie and friendship among the class . [SENT] The focus returns to the teacher , who continues his lecture with a calm demeanor , maintaining the class 's attention . [SENT] The final image is a close-up of Reese , her expression now more contemplative , as if she is reflecting on the lesson or the discussions that have taken place . Throughout the sequence , the classroom environment , the teacher 's lecture , and the students ' engagement create a cohesive narrative of learning and interaction . [SENT]",9914,2,internvl3,large,42,7,internvl3_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines,model_large,
